2EIL,3584,2067,818,699,        
2EIM,3584,2053,831,700,        
2EIN,3584,2029,844,711,        
2ERK,354,139,126,89, S
2ERZ,358,134,131,93,  
2FF4,770,360,279,131,  
2G9X,1103,531,330,242,  
2GA3,900,273,414,213,HH
2GBL,2974,907,1498,569,GGGGTTGGTT
2GFC,359,132,131,96,  
2GNF,363,140,131,92,  
2GNG,363,133,134,96,   
2GNH,363,135,130,98,   
2GNI,363,133,139,91,   
2GNJ,359,132,134,93,  
2GNL,362,137,130,95,  
2GU8,359,131,135,93,  
2I0E,635,226,249,160,     
2IW6,1106,539,329,238,  
2IW8,1080,544,299,237,  
2IW9,1080,546,295,239,  
2J90,534,203,207,124,G T 
2JDO,328,112,129,87, 
2JDR,330,114,131,85, 
2JDS,359,129,138,92,   
2JDT,358,132,135,91,  
2JDV,358,131,132,95,  
2JFL,289,114,122,53,H 
2JFM,289,116,117,56,H
2JGZ,551,265,170,116, 
2JOC,38,0,31,7,E
2JQI,163,24,89,50, 
2JQL,153,0,101,52,  
2K7L,88,47,19,22, 
2KB3,144,7,89,48, 
2KFU,163,0,106,57, 
2KMD,112,67,21,24, H
2LAX,47,0,33,14,  
2LB2,49,3,29,17, 
2LB3,46,0,31,15, 
2MG5,166,75,54,37, 
2MMK,72,4,39,29,SS
2MML,72,14,35,23, 
2MX4,46,0,33,13,  
2NRU,1185,465,462,258, S S S S
2NRY,1150,467,412,271,    
2O8Y,564,235,199,130,EG H E   HHEH H E   HH
2OIB,1152,478,396,278,  S S  S  S
2OIC,1137,448,421,268,  S S  S  S
2OID,1095,435,389,271,  S S  S  S
2OVQ,594,138,325,131,  
2OVR,591,132,334,125, 
2PIE,141,10,87,44, 
2Q5A,153,39,80,34,TTB
2Q8Y,225,78,78,69,  
2QCS,631,218,264,149,   
2QKW,395,167,124,104,B 
2QUR,362,136,130,96,  
2QVS,627,218,252,157,  
2RLT,100,41,33,26, 
2RUK,132,22,81,29,G 
2UV2,288,113,120,55,
2UVX,359,131,138,90,  
2UVY,358,129,137,92,   
2UVZ,359,130,137,92,   
2UW0,359,131,139,89,   
2UW3,359,132,137,90,   
2UW4,359,131,135,93,  
2UW5,358,130,136,92,   
2UW6,359,132,135,92,   
2UW7,359,133,132,94,  
2UW8,359,130,136,93,   
2UW9,330,114,131,85, 
2UZB,1110,551,305,254,  
2UZD,1112,531,339,242,  
2UZE,1112,546,327,239,  
2UZL,1110,539,333,238,  
2V7D,950,698,120,132,    
2VAG,334,130,133,71,  
2VGO,636,253,224,159,  
2VGP,632,258,217,157,  
2VNW,359,133,133,93,   
2VNY,359,130,136,93,   
2VO0,365,130,140,95,T  
2VO3,359,133,137,89,   
2VO6,360,129,136,95,   
2VO7,359,133,134,92,  
2VRX,632,259,213,160,  
2W1C,264,105,96,63,  
2W1G,256,105,88,63,
2W3O,221,0,165,56,    
2W8D,843,312,329,202,HHHHH BH EH HHHHHH BH EH H
2WMA,1090,512,328,250,  
2WMB,1091,541,310,240,  
2WTV,1062,453,384,225, HHEETEET HH
2X39,330,111,133,86, 
2XH5,330,112,131,87, 
2XIK,291,115,114,62, 
2Y69,3554,2047,828,679,  
2Z8P,226,73,84,69,  
2ZXW,3558,2062,811,685,      
3A62,267,95,109,63,T
3A7F,286,115,105,66, 
3A7G,583,237,217,129,  
3A7H,583,232,228,123,  
3A7I,288,117,111,60, 
3A7J,288,117,109,62, 
3A8W,663,263,228,172,    
3A8X,672,254,246,172,    
3ABK,3584,2055,827,702,        
3ABL,3558,2058,824,676,      
3ABM,3558,2050,830,678,      
3AG1,3584,2060,826,698,        
3AG2,3584,2070,817,697,        
3AG3,3584,2057,835,692,        
3AG4,3584,2067,819,698,        
3AG9,648,247,244,157,    
3AGL,680,259,254,167,     
3AGM,347,129,129,89,        
3AL3,231,92,83,56, 
3ALO,298,117,91,90, 
3AMA,368,139,130,99,H  
3AMB,366,137,131,98,H  
3AMT,420,104,220,96,E HH HHETEES
3AMU,406,101,198,107,H
3ASN,3584,2061,816,707,        
3ASO,3584,2065,813,706,        
3BHT,1099,547,312,240,  
3BHU,1100,541,318,241,  
3BHV,1100,545,315,240,  
3BLH,553,271,148,134, 
3BLQ,552,267,155,130, 
3BLR,557,266,156,135, 
3BWJ,342,129,128,85,   
3BZI,232,67,118,47, 
3C4W,1018,473,316,229, 
3C5L,225,65,113,47, 
3CKX,279,113,101,65, 
3COM,551,219,213,119,T T 
3CQU,332,117,125,90, 
3CQW,332,116,122,94, 
3D0E,652,224,251,177,    
3D5W,287,98,116,73, 
3DDP,1131,534,342,255,  
3DDQ,1101,554,303,244,  
3DND,358,130,139,89,  
3DNE,360,130,140,90,  
3DOG,1098,539,317,242,  
3DPC,910,260,415,235,S
3DVL,2974,910,1497,567,GGGGTTTTGGGG
3E5A,301,123,102,76, 
3E6Y,481,380,47,54,  
3E87,672,224,261,187,    
3E88,668,218,271,179,    
3E8C,2192,813,800,579,S  T  S  T    H  
3E8D,660,227,258,175,  
3E8E,2189,828,784,577,T    G  T    H  
3F69,557,213,204,140, 
3FBV,5876,2594,2010,1272,S SS SS SS SS SS SS SS SS SS SS SS SS SS S
3FHI,489,170,197,122,  
