2FKF,456,173,205,78,T
2FO0,467,151,218,98,G
2FWN,525,205,202,118,T
2G57,27,0,22,5,ST
2GBL,2974,907,1498,569,GGGGTTGGTT
2GCD,620,275,224,121,  
2GFC,359,132,131,96,  
2GHQ,378,107,182,89,    
2GHT,377,110,180,87,  
2GLQ,480,161,206,113,H
2GNF,363,140,131,92,  
2GNG,363,133,134,96,   
2GNH,363,135,130,98,   
2GNI,363,133,139,91,   
2GNJ,359,132,134,93,  
2GNL,362,137,130,95,  
2GPA,816,422,247,147,S
2GU8,359,131,135,93,  
2H4L,456,169,215,72,T
2H5A,456,172,209,75,T
2I0E,635,226,249,160,     
2J0I,291,116,114,61, 
2J90,534,203,207,124,G T 
2JDS,359,129,138,92,   
2JDT,358,132,135,91,  
2JDV,358,131,132,95,  
2JED,651,242,242,167,    
2JFL,289,114,122,53,H 
2JKR,3518,1825,1127,566,  
2JKT,3518,1787,1159,572,  
2JPW,33,12,7,14,TH
2KMD,112,67,21,24, H
2L0I,147,105,24,18,B
2L5J,22,3,14,5,T
2LAJ,52,7,31,14,S 
2LAX,47,0,33,14,  
2LAY,47,0,33,14, 
2LAZ,43,0,28,15, 
2LB0,45,0,27,18,  
2LIC,36,0,18,18,S
2LID,36,4,15,17,T
2LKJ,25,12,10,3,H
2LO6,170,105,35,30,S 
2LUE,138,38,58,42, S   
2LXT,143,95,18,30,H
2M3B,265,205,16,44,     
2MAE,27,19,5,3,H
2MVK,27,12,6,9,T
2MZ2,18,11,4,3, 
2MZ3,18,9,7,2,T
2MZA,18,11,4,3,H
2N04,106,51,36,19, 
2N1O,43,0,28,15, 
2N8T,55,0,32,23,  
2N9E,110,15,52,43,  
2NPM,490,387,45,58,  
2NRU,1185,465,462,258, S S S S
2NZU,364,145,154,65, 
2NZV,364,139,152,73, 
2OBJ,274,106,112,56,H
2OEN,364,130,146,88, 
2OIB,1152,478,396,278,  S S  S  S
2OIC,1137,448,421,268,  S S  S  S
2OID,1095,435,389,271,  S S  S  S
2OVQ,594,138,325,131,  
2PE0,278,112,104,62, 
2PE1,278,108,105,65, 
2PE2,278,118,97,63, 
2PIL,159,64,73,22, S
2PSG,371,76,222,73,E
2PT3,596,219,213,164,H
2PUM,596,206,225,165,T
2Q0N,307,118,121,68, 
2QCS,631,218,264,149,   
2QG5,854,294,375,185,HHH
2QKW,395,167,124,104,B 
2QLL,816,395,262,159,S
2QPK,596,223,212,161,H
2QQT,596,215,222,159,H
2QRB,596,217,219,160,H
2QUR,362,136,130,96,  
2QVS,627,218,252,157,  
2R5L,596,220,221,155,H
2RT5,179,60,78,41,  
2RUK,132,22,81,29,G 
2RVM,84,17,29,38,    
2RVN,103,17,36,50,    S
2UVX,359,131,138,90,  
2UVY,358,129,137,92,   
2UVZ,359,130,137,92,   
2UW0,359,131,139,89,   
2UW3,359,132,137,90,   
2UW4,359,131,135,93,  
2UW5,358,130,136,92,   
2UW6,359,132,135,92,   
2UW7,359,133,132,94,  
2UW8,359,130,136,93,   
2V7O,308,134,106,68,G
2VAG,334,130,133,71,  
2VNW,359,133,133,93,   
2VNY,359,130,136,93,   
2VO0,365,130,140,95,T  
2VO3,359,133,137,89,   
2VO6,360,129,136,95,   
2VO7,359,133,134,92,  
2VXC,464,136,197,131, 
2W3O,221,0,165,56,    
2W5V,694,235,317,142,HH
2W5W,694,238,314,142,HH
2W5X,694,245,307,142,HH
2WH0,930,726,94,110,    
2X4Z,292,121,114,57, 
2XCH,281,114,102,65, 
