#Frame             d1           d2
     686       9.9098      10.1215
     687       7.0291       8.6896
     688       9.0939       9.4138
     689       8.5307       8.8331
     690       8.6474       9.3348
     691      11.1154       8.6295
     692      11.4503       9.3596
     693      12.6157       9.6259
     694      11.1115       9.7372
     695      10.8894       8.8320
     696      11.1373       8.9432
     697      10.4293       9.6418
     698       8.4862       9.8147
     699       9.1061      10.2904
     700      10.3132       9.7261
     701       8.1105      10.1035
     702       9.5590       9.0828
     703       7.3961       9.6404
     704       9.0807      10.1109
     705      10.1182       9.3329
     706       8.7696       9.6022
     707       9.6597       9.7521
     708       9.9577       9.9451
     709       9.0600       9.9285
     710      10.5872       9.0942
     711       9.1755       9.1488
     712       8.0957       9.8011
     713       8.1278       9.3290
     714       9.3062       9.2725
     715       8.8656       9.8649
     716      10.5542       9.8030
     717      10.1931      10.0116
     718      12.7718       9.6890
     719      14.0231       9.6651
     720      13.0112       9.4582
     721      12.0137      10.1597
     722      11.1931       9.6975
     723      13.0088       9.5292
     724      12.4556       9.5148
     725      12.6958       9.6763
     726      12.6665      10.1401
     727      10.2826      10.6904
     728      11.3628      10.2656
     729      12.1061       9.3923
     730      11.5757      11.6632
     731      10.9701       9.7671
     732      10.7115       8.9215
     733      11.6385       9.2718
     734      11.2578       9.9008
     735      10.9150       9.4081
     736      11.9407       9.5457
     737      11.2791       9.5506
     738      11.9015       9.0964
     739      13.7750       9.4542
     740      13.6274      10.0051
     741      11.5092       9.9787
     742      13.1540       9.4570
     743      11.2269       9.9489
     744      11.7943       9.6156
     745      11.5697       8.8951
     746       6.9580       9.8436
     747       7.1881       9.0167
     748      10.2205       9.2784
     749       7.6231       9.5455
     750       7.6897       9.3318
     751       8.0456       9.2784
     752       7.4023       9.5185
     753       8.3623       9.4235
     754      10.7252       9.3119
     755      11.5514       9.7248
     756       9.1360       9.2899
     757      11.7396       9.4294
     758      10.2636       9.8253
     759      10.7803       9.6002
     760       9.3468       9.8410
     761      10.6583       9.3573
     762       8.7092       9.5524
     763       7.6412       9.0935
     764       8.0684       9.6170
     765       9.6371       9.1149
     766       7.4900       9.0326
     767       6.8845       9.4215
     768       9.2207       8.7168
     769       7.6346       9.8866
     770       8.2689       9.0916
     771       9.9285       8.9857
     772       8.1072       9.1613
     773       5.3672       9.9310
     774       7.1776       9.1365
     775       6.6259       8.9383
     776       7.1386       9.6200
     777       7.4401      10.1170
     778       5.3956       9.7660
     779       8.9381       8.7345
     780       7.5201       9.3703
     781       7.8461       9.0531
     782       7.1944       9.3912
     783       6.4260       9.0567
     784       8.4755       9.9027
     785       7.2577       9.4141
     786       7.1770      10.0851
     787       9.3595       9.4154
     788       9.2012       9.0586
     789       9.4631       9.5994
     790      10.7555       9.7599
     791       9.7251       9.4798
     792       7.9462       9.5857
     793       8.6461       9.9292
     794       9.8089       9.7913
     795      10.0271       8.5099
     796       9.5182       9.2954
     797       9.2252      10.4524
     798       9.6175       9.6945
     799       8.2542      10.2093
     800       9.3994       9.2821
     801      10.9543       9.5187
     802      11.0495       9.6696
     803       8.9261      10.0832
     804       8.7546       9.4440
     805       8.5403       9.6571
     806       6.7393       9.7751
     807       8.2230       9.9935
     808       8.0438       9.8629
     809       7.8320       9.4742
     810       7.3509       9.8545
     811       8.2651       9.8282
     812       6.7811      10.8599
     813       5.9202       9.8303
     814       6.3745       9.8091
     815       7.3681       9.6148
     816       6.5508       9.0962
     817       7.9265       8.9766
     818       7.1837       9.1860
     819       7.5967       9.3375
     820       8.7823       9.0050
     821       8.1612       8.7619
     822       7.7624       9.4825
     823       7.8675       9.0581
     824       7.4438       8.0098
     825       7.2664       9.1253
     826       8.5890       9.5366
     827       7.2659      10.1047
     828       9.4321       9.6424
     829       8.6203       9.0797
     830       8.8303       9.4086
     831      11.1529       9.0815
     832      10.2297       8.8216
     833      11.5021       9.1736
     834      10.9377       9.4192
     835       8.1424       9.0761
     836       9.8351       8.9245
     837       9.6808       9.0648
     838       8.1495       8.5506
     839       8.5582       9.3121
     840       8.3729       9.2801
     841       9.6414       9.0624
     842      11.8027       9.0237
     843      11.8171       8.7466
     844      11.5136       9.2096
     845      11.2597       8.5412
     846      12.6045       9.1293
     847      11.1567       8.8583
     848       9.2914       8.4155
     849       9.0444       9.2892
     850       9.0950       8.7001
     851       7.6048       9.2654
     852       8.6147       9.1139
     853      11.4493       8.7517
     854       9.8949       8.2246
     855       9.6295       8.3770
     856       9.3531       9.0445
     857       8.8443       8.5552
     858       8.7088       8.6919
     859       9.0843       8.5998
     860       7.8172       8.5311
     861       6.7452       8.8817
     862       7.5645       8.5266
     863       7.6749       9.2077
     864       9.4843       8.8577
     865      10.9260       9.1716
     866       9.6398       9.4021
     867       8.4296       9.2012
     868       9.2732       9.1005
     869       8.3712       9.1045
     870       8.0283       9.1859
     871       9.7887       8.8046
     872      10.6707       9.1385
     873       9.9786       8.8139
     874      10.1554       8.5620
     875       9.2886       9.3403
     876      10.4874       9.2367
     877       9.5304       8.8034
     878       7.7794       9.1114
     879       8.9923       9.3518
     880       8.3362       9.7354
     881       7.3147       9.4042
     882       9.4583       9.4122
     883       9.9157       9.0466
     884       8.6940       9.0902
     885       7.4789       9.4947
     886       8.7863      10.1973
     887       7.6605       9.5592
     888       7.8887       9.8133
     889       7.8922       9.3352
     890       8.5657       9.7752
     891       8.3630       9.4420
     892       8.5000      10.0883
     893      10.2552       9.0478
     894      11.7305      10.1993
     895      10.3696       9.3259
     896      10.0336       9.7172
     897      11.1072       9.3001
     898      10.7501       9.8375
     899      11.2249       8.9002
     900      11.8348       9.1670
     901      11.7334       8.8061
     902      10.0491       8.8446
     903      11.4086       8.7912
     904      11.7899       8.9066
     905      10.8796       9.7142
     906      10.5451       9.3498
     907      10.3144       9.2318
     908      11.1009       8.8162
     909      10.0713       9.1779
     910       9.5175       8.4031
     911       9.9841       9.2017
     912       8.5509       9.5440
     913       9.2890       9.8243
     914       8.3296       9.1921
     915       9.1836       9.4778
     916       7.2428       9.2285
     917       7.7962       8.9162
     918       8.1724       9.5819
     919       7.7306       9.7888
     920       7.5484       9.4340
     921       7.5011       9.1887
     922       7.1747       9.4486
     923       6.4895       9.0972
     924       4.8205       9.4347
     925       5.5910       8.9659
     926       7.0491       9.4807
     927       9.2224       9.6279
     928       8.6525       8.4994
     929       8.6738       8.8641
     930       7.7746       9.0052
     931       9.3267       9.1055
     932      10.2702       9.2073
     933       8.7695       8.5821
     934      11.6525       9.0405
     935       9.4545       9.5074
     936       9.2240       9.4814
     937       7.6860       9.7050
     938       8.3584       9.3563
     939       9.2128       8.9953
     940       9.5009       9.6332
     941       9.9236       9.1084
     942      10.3902       9.5436
     943      10.5195       9.1123
     944      11.7397       9.5263
     945      11.5036       8.6686
     946      10.9129       9.0209
     947       9.4891       8.6361
     948      11.0177       8.9753
     949       9.2320       9.8715
     950      10.9145       9.1600
     951      11.4390       8.3372
     952      10.0148       9.0467
     953      10.5619       8.7853
     954      10.1036       8.9746
     955      10.4603       8.6726
     956       9.6472       9.4589
     957       9.0741       9.1069
     958       9.8434       8.3981
     959       8.7416       9.1245
     960       9.3910       9.0611
     961      11.2455       9.3838
     962      11.4447       9.1866
     963      11.1747       9.4902
     964      10.3557       8.9824
     965       9.4907       8.8626
     966       9.5073       8.6739
     967       9.0164       8.9662
     968       8.2226       8.6903
     969      10.1660       9.1114
     970       9.1069       9.3303
     971      10.3051       9.6393
     972       9.6586       8.7734
     973      10.1248       9.9688
     974       9.8537       9.7521
     975      10.5011       9.2592
     976       9.8547       9.3157
     977      10.6779       9.4550
     978       8.4908       9.3784
     979       8.6244       8.8260
     980       9.8211       8.7207
     981       8.5777       9.5227
     982       9.1563       9.1980
     983       9.6558       9.6136
     984       8.9764       8.7435
     985       8.0957       8.7627
     986       7.8265       9.6324
     987       7.1183       8.9781
     988       7.7634       9.7724
     989       9.5933       8.8178
     990       8.4127       9.5935
     991       6.7598       9.3354
     992       5.5423       9.4508
     993       7.2664       9.2699
     994       5.2739       8.7367
     995       7.0755       9.0414
     996       6.8785       8.5722
     997       7.4531       8.5766
     998       7.3250       9.1246
     999       6.2384       9.5048
    1000       5.5772       9.5931
    1001       4.8102       8.9555
    1002       5.7454       8.6757
    1003       9.3503       9.5571
    1004       9.7620       8.9030
    1005      10.8372       9.3343
    1006      11.0813       9.6853
    1007      11.0044      10.4492
    1008      10.1643       9.8108
    1009       9.9792       8.3480
    1010      10.0287       9.0204
    1011       8.4550       9.4369
    1012       9.8262       9.4380
    1013       9.9139       9.6204
    1014       9.3987       9.6759
    1015       8.1954       9.5456
    1016       8.4925      10.1297
    1017       9.2127       9.6381
    1018       8.3466       9.1189
    1019       8.8039       9.4907
    1020       9.5948       9.8309
    1021       9.1461       9.9075
    1022       9.3236       8.9595
    1023       9.2250       9.5671
    1024       7.8888       9.9904
    1025      10.4547       9.6356
    1026       9.8598       9.5739
    1027      10.0640      10.2688
    1028       9.3790       9.5906
    1029       8.7457       9.5909
    1030       8.9356       9.9119
    1031       9.5617       9.5941
    1032       8.1354       9.9066
    1033       7.7386       9.7742
    1034       9.0500      10.1745
    1035       9.8837      10.6019
    1036      10.8046      10.8693
    1037      10.6609       9.4900
    1038       9.8602       9.6641
    1039      10.1963       9.3324
    1040      10.3783      10.1985
    1041       9.8077      10.4953
    1042      10.0156       9.2076
    1043      11.4801       9.4312
    1044      10.4994       9.1402
    1045      11.0812       9.6952
    1046       8.9547       9.5862
    1047       8.5676       9.6743
    1048       9.7564       9.8331
