#Frame             d1           d2
     355      11.3903      10.7545
     356      12.1304      10.6808
     357      12.3437      11.2818
     358      11.7357      10.0761
     359      10.9938      10.7704
     360      12.3737      10.7033
     361      12.7529      10.1886
     362      13.0269      10.5339
     363      14.8789      10.5225
     364      14.5781       9.9930
     365      14.1756      10.9577
     366      14.2857      10.6302
     367      14.0527      10.9113
     368      14.1868      11.6497
     369      13.9653      11.3167
     370      13.7822      11.2156
     371      13.9071      10.7535
     372      14.5365      10.8286
     373      15.3892      10.7965
     374      14.8417      10.7557
     375      13.9680      11.4075
     376      15.6054      10.7650
     377      15.5086      10.1825
     378      14.6886       9.2279
     379      14.5647       9.7848
     380      13.2419       9.4279
     381      14.2145      10.6324
     382      13.8125       9.3595
     383      14.0580      10.4278
     384      11.8398      10.4413
     385      15.4153      10.0066
     386      15.3389       9.5304
     387      13.6435      10.1836
     388      13.8017      10.7281
     389      12.3526      11.0660
     390      11.5400      11.0256
     391      13.0970      11.2893
     392       9.2913      11.0045
     393       9.9004      11.5086
     394      10.4910      11.1127
     395       9.6719      11.8411
     396       9.7624      11.2542
     397       9.1607      11.8096
     398      10.0432      10.5667
     399      11.3607      11.0666
     400      11.1964      10.1995
     401      10.8005      10.9388
     402       8.1702      11.5869
     403      11.2409      11.0123
     404      12.2402       8.3500
     405      12.1498       8.3184
     406      12.3389       8.6118
     407      15.1419       8.3824
     408      12.6982       7.9842
     409      14.6563       7.9002
     410      14.2831       8.9047
     411      13.4778       8.7699
     412      14.6218       8.2281
     413      15.1004      10.0573
     414      15.6299      10.5169
     415      15.4222       9.6688
     416      11.5215      10.0301
     417      11.2335       9.8619
     418      12.6187      11.0953
     419      11.0247      11.8607
     420      10.8431      11.7860
     421      12.0206      11.6948
     422      11.7205      12.2865
     423      11.2456      11.7439
     424      11.6446      12.7351
     425      11.2362      11.9227
     426      10.7380      11.3478
     427      11.8130      11.7268
     428      10.9840      10.2089
     429      11.4213      11.5617
     430      10.6042      10.3382
     431       9.8960       9.4128
     432      11.3048       9.2589
     433       8.9675       9.4238
     434       8.5538       9.6872
     435       8.4437      10.6061
     436       9.3645       9.5780
     437      12.1347       9.9608
     438      12.6682       9.0760
     439       9.5871       9.6308
     440      10.9012      10.3968
     441       8.3523       9.8498
     442       9.0984       9.1719
     443       7.9116      10.0927
     444       9.1535       9.1500
     445       9.6892       9.3440
     446       8.6352      10.7274
     447      10.6110       9.3272
     448       8.6010       8.6532
     449       8.4067       8.5259
     450       9.9622       9.7609
     451       9.9856       7.6401
     452       9.8553       9.2270
     453       8.1749       9.9727
     454      10.1728      10.9740
     455      10.1236      10.3216
     456      11.5911      11.0076
     457      12.6582      10.3540
     458       9.9804      11.2690
     459       9.5849      11.1211
     460       9.8235      11.7017
     461      11.2740      10.9528
     462      11.8053      10.3084
     463      11.3362      10.6295
     464      10.2010      10.5570
     465      12.9216      10.3378
     466      11.7409      10.8115
     467      10.5140      11.1580
     468       9.9350      12.0374
     469      10.5565      10.7213
     470       9.3371      11.2622
     471      10.1038      10.4794
     472       7.6807      11.1821
     473      10.6043      11.2576
     474      10.1751      11.1460
     475      11.5204      11.6511
     476       6.9900      10.6219
     477       8.0713      10.2051
     478       8.1294       9.8889
     479       8.3852       9.7486
     480       8.8036      10.0920
     481       7.3928       9.8417
     482      10.2499      10.9482
     483      10.7360      10.8367
     484      11.0124      10.1372
     485       7.9520      11.1339
     486       8.9635      11.7331
     487       9.0360      11.6624
     488       7.8882      11.2316
     489       6.5817      11.4490
     490       6.2997      10.6792
     491       6.2157      11.6591
     492       9.4805      11.7796
     493       9.8427      11.4416
     494      10.7448      12.1419
     495      12.4418      11.3822
     496      12.3402      12.3995
     497      11.6305      12.3586
     498      10.9770      11.6824
     499       9.7583      11.3523
     500      10.7925      12.3397
     501      10.0913      11.9425
     502       9.0786      11.4617
     503       7.9806      12.5941
     504      10.1475      12.1024
     505       8.3935      11.8061
     506       9.2056      10.5001
     507       9.6220      10.2771
     508      10.8512      11.0507
     509      11.7989      11.4965
     510       9.7444      11.2606
     511       7.5605      11.5527
     512       7.6190      11.0207
     513       8.9681      11.2618
     514       9.6398      10.6603
     515       8.1291      10.9333
     516       6.1133      10.1103
     517       7.0540      11.0003
     518       7.7034      10.7969
     519       7.2356      11.7475
     520       5.5267      11.5489
     521       5.5421       9.7344
     522       7.3945       9.9731
     523       7.2167       9.2662
     524       4.8888       9.3796
     525       5.4639       7.9818
     526       6.8137       8.6864
     527       6.5552       8.3065
     528       6.4995       8.3907
     529       6.6414       9.4086
     530       6.0525       9.1905
     531       6.4370      10.8941
     532       6.1554      10.1116
     533       7.0714      10.2769
     534       6.4957       9.3922
     535       6.0829       9.9315
     536       7.8109      10.3402
     537       6.2106       9.7773
     538       6.1632       9.2430
     539       6.5793       8.6179
     540       7.6132       9.2204
