#Frame             d1           d2
     328       8.0342      11.4049
     329       9.3074      11.2012
     330      10.9326      11.1621
     331       9.9782      11.3751
     332      10.5981      11.4615
     333      10.9099      12.1885
     334      10.5991      11.5557
     335      11.3907      11.5994
     336      10.3904      11.6417
     337      11.2785      11.7678
     338      10.7384      12.1137
     339       9.2176      11.1427
     340       9.2236      10.6781
     341       8.2910      11.7709
     342      10.0116      11.3402
     343       9.8379      11.3175
     344       9.1909      12.0261
     345       8.7486      11.1075
     346       9.3619      10.8824
     347       8.5384      11.2133
     348       8.7351      12.1007
     349       8.9900      12.1412
     350       7.7763      11.2205
     351       7.7312      11.4373
     352       8.6988      12.3515
     353       8.2011      12.0589
     354       9.0013      11.9032
     355       7.8703      12.0941
     356       9.2409      11.4825
     357       8.5515      11.7688
     358       9.5136      11.3259
     359       6.9394      10.9886
     360       6.8833      11.6598
     361       6.6373      11.7897
     362       7.7264      10.6122
     363       9.0636      11.6222
     364       9.9715      11.2352
     365       9.1220      11.6744
     366       8.4393      11.9056
     367       8.2518      11.0299
     368       9.3326      11.6171
     369       9.6472      11.4511
     370       8.5410      10.9123
     371       8.6096      12.7740
     372       8.7647      12.7993
     373       7.9187      12.2860
     374       7.8840      12.2034
     375       8.4854      11.7636
     376       8.7911       9.8822
     377       9.3109      10.1770
     378       6.9801      11.0093
     379       6.5654      11.4785
     380       6.1860      11.3571
     381       6.2254      11.2427
     382       7.0769      11.4775
     383       6.4871      11.6153
     384       5.8943      11.8337
     385       7.1674      11.3027
     386       7.6399      11.1783
     387       8.2005      11.8216
     388       8.0484      12.4087
     389       8.1246      11.9491
     390       9.3530      12.9021
     391      10.4358      12.1951
     392       8.1926      12.7878
     393       8.8006      12.1468
     394      10.0955      11.9056
     395       9.4574      11.1538
     396      10.4738      11.8249
     397      10.0794      11.6002
     398      10.4100      12.1083
     399       9.5814      12.4012
     400      10.1737      12.2020
     401      10.2367      12.3312
     402       9.9032      13.0973
     403      11.6116      12.0792
     404      11.9967      11.9831
     405      11.3244      11.2418
     406      12.6914      11.6860
     407      11.2016      11.5159
     408      10.1588      11.7490
     409       9.6669      12.6613
     410      10.2508      12.4221
     411       8.4749      12.2604
     412       8.4973      12.8073
     413       7.5313      12.5162
     414       7.3834      11.8904
     415       8.0480      12.2797
     416       7.6305      12.7532
     417       7.7971      13.2703
     418       6.8213      12.0304
     419       5.7139      12.2109
     420       6.6292      12.2832
     421       7.3075      12.2788
     422       6.8329      12.1697
     423       8.2426      12.5184
     424       8.5582      12.4686
     425       9.2477      12.3224
     426       8.8283      12.2481
     427       9.3433      12.0693
     428       7.5510      11.7546
     429       8.3451      11.4289
     430       9.7055      11.9779
     431       8.7893      11.7909
     432       9.0341      11.0864
     433       7.5194      11.1025
     434       5.5136      11.5194
     435       6.5396      12.2018
     436       6.8997      12.4161
     437       6.5761      11.9904
     438       7.1829      12.3999
     439       8.7731      11.3646
     440       9.5303      11.6911
     441      10.3691      11.8421
     442       8.7623      12.3966
     443       9.0180      11.7505
     444       7.8778      10.9005
     445       8.5026      11.2402
     446       9.3877      12.3185
     447       9.5785      11.7452
     448       8.7329      12.0546
     449       8.3829      11.6328
     450       8.9275      10.8205
     451       7.7040      10.6058
     452       6.9309       9.8057
     453       8.2965       9.9798
     454       7.4180       9.1384
